Rang (2017),Name,1939,1950,1960,1970,1980,1990,2000,2010,2016,2017,Flächein km²(2016),Ew./km²(2016),Be­völ­ke­rungs­ent­wick­lung [%] (2017 ggü. 2016),Großstadt erst­mals,Bun­des­land
1,Berlin,4.321.521,3.336.026,3.274.016,3.208.719,3.048.759,3.433.695,3.382.169,3.460.725,3.574.830,3.613.495,"891,68",4.009,"1,08",1747,Berlin
2,Hamburg,1.698.388,1.605.606,1.836.958,1.793.640,1.645.095,1.652.363,1.715.392,1.786.448,1.810.438,1.830.584,"755,22",2.397,"1,11",1787,Hamburg
3,München,815.212,831.937,1.101.384,1.311.978,1.298.941,1.229.026,1.210.223,1.353.186,1.464.301,1.456.039,"310,70",4.713,"-0,56",1852,Bayern
4,Köln,768.352,594.941,801.142,849.451,976.694,953.551,962.884,1.007.119,1.075.935,1.080.394,"405,02",2.656,"0,41",1852,Nordrhein-Westfalen
5,Frankfurt am Main,548.22,532.037,675.009,666.179,629.375,644.865,648.55,679.664,736.414,746.878,"248,31",2.966,"1,42",1875,Hessen
6,Stuttgart,454.346,497.677,637.366,634.202,580.648,579.988,583.874,606.588,628.032,632.743,"207,35",3.029,"0,75",1874,Baden-Württemberg
7,Düsseldorf,535.753,500.516,697.891,660.963,590.479,575.794,569.364,588.735,613.23,617.28,"217,41",2.821,"0,66",1882,Nordrhein-Westfalen
8,Dortmund,537.865,507.349,640.802,640.642,608.297,599.055,588.994,580.444,585.813,586.6,"280,71",2.087,"0,13",1894,Nordrhein-Westfalen
9,Essen,664.523,605.411,729.462,696.419,647.643,626.973,595.243,574.635,583.084,583.393,"210,34",2.772,"0,05",1896,Nordrhein-Westfalen
10,Leipzig,702.155,617.574,589.632,583.885,562.48,511.079,493.208,522.883,571.088,581.98,"297,80",1.918,"1,91",1871,Sachsen
11,Bremen,354.109,444.549,563.27,592.533,555.118,551.219,539.403,547.34,565.719,568.006,"325,56",1.738,"0,40",1875,Bremen
12,Dresden,629.713,494.187,493.603,502.432,516.225,490.571,477.807,523.058,547.172,551.072,"328,48",1.666,"0,71",1852,Sachsen
13,Hannover,464.646,444.296,574.672,521.003,534.623,513.01,515.001,522.686,532.864,535.061,"204,14",2.61,"0,41",1875,Niedersachsen
14,Nürnberg,420.349,362.459,458.401,478.181,484.405,493.692,488.4,505.664,511.628,515.201,"186,38",2.745,"0,70",1881,Bayern
15,Duisburg,433.53,410.783,503.641,452.721,558.089,535.447,514.915,489.599,499.845,498.11,"232,80",2.147,"-0,35",1903,Nordrhein-Westfalen
16,Bochum,305.469,289.804,362.49,343.809,400.757,396.486,391.147,374.737,364.92,365.529,"145,66",2.505,"0,17",1904,Nordrhein-Westfalen
17,Wuppertal,399.718,363.224,421.378,417.694,393.381,383.66,366.434,349.721,352.39,353.59,"168,39",2.093,"0,34",1884,Nordrhein-Westfalen
18,Bielefeld,126.711,153.613,174.527,168.609,312.708,319.037,321.758,323.27,333.451,332.552,"258,82",1.288,"-0,27",1930,Nordrhein-Westfalen
19,Bonn,98.702,115.394,146.889,275.722,288.148,292.234,302.247,324.899,322.125,325.49,"141,06",2.284,"1,04",1934,Nordrhein-Westfalen
20,Münster,132.76,118.496,180.871,198.878,269.696,259.438,265.609,279.803,311.846,313.559,"303,28",1.028,"0,55",1915,Nordrhein-Westfalen
21,Karlsruhe,184.489,198.84,240.45,259.091,271.892,275.061,278.558,294.761,309.999,311.919,"173,46",1.787,"0,62",1901,Baden-Württemberg
22,Mannheim,280.365,245.634,311.383,332.378,304.303,310.411,306.729,313.174,304.781,307.997,"144,96",2.103,"1,06",1897,Baden-Württemberg
23,Augsburg,180.039,185.183,206.422,213.23,248.346,256.877,254.982,264.708,289.584,292.851,"146,84",1.972,"1,13",1909,Bayern
24,Wiesbaden,165.646,220.741,257.293,250.715,274.464,260.301,270.109,275.976,277.619,278.654,"203,93",1.361,"0,37",1905,Hessen
25,Mönchen­gladbach,128.418,124.879,152.414,151.085,128.329,259.436,263.014,257.993,260.925,262.188,"170,47",1.531,"0,48",1921,Nordrhein-Westfalen
26,Gelsenkirchen,317.505,315.46,388.608,347.074,304.386,293.714,278.695,257.981,262.528,260.305,"104,94",2.502,"-0,85",1903,Nordrhein-Westfalen
27,Braunschweig,189.628,223.76,242.489,223.275,261.141,258.833,245.816,248.867,248.667,248.023,"192,18",1.294,"-0,26",1890,Niedersachsen
28,Kiel,261.298,254.449,271.61,271.07,250.062,245.567,232.612,239.526,247.441,247.943,"118,65",2.085,"0,20",1900,Schleswig-Holstein
29,Chemnitz,334.713,293.373,286.329,299.411,317.644,294.244,259.246,243.248,246.353,246.855,"221,05",1.114,"0,20",1883,Sachsen
30,Aachen,159.631,129.811,170.367,175.451,243.947,241.861,244.386,258.664,244.951,246.272,"160,85",1.523,"0,54",1888,Nordrhein-Westfalen
31,Halle (Saale),217.48,289.119,277.855,257.261,232.294,310.234,247.736,232.963,238.005,239.173,"135,02",1.763,"0,49",1890,Sachsen-Anhalt
32,Magdeburg,329.824,260.305,261.594,272.237,289.032,278.807,231.45,231.549,238.136,238.478,"201,00",1.185,"0,14",1882,Sachsen-Anhalt
33,Freiburg im Breisgau,108.487,109.717,141.637,163.568,175.106,191.029,205.102,224.191,227.59,229.636,"153,06",1.487,"0,90",1934,Baden-Württemberg
34,Krefeld,170.205,171.875,211.479,222.666,223.969,244.02,239.916,235.076,226.812,226.699,"137,77",1.646,"-0,05",1888,Nordrhein-Westfalen
35,Lübeck,149.502,238.276,232.14,239.955,220.588,214.758,213.399,210.232,216.712,216.318,"214,21",1.012,"-0,18",1912,Schleswig-Holstein
36,Mainz,154.033,88.369,133.089,174.858,187.392,179.486,182.87,199.237,213.528,215.11,"97,74",2.185,"0,74",1908,Rheinland-Pfalz
37,Erfurt,159.201,188.65,186.448,195.994,211.575,208.989,200.564,204.994,211.113,212.988,"269,88",782,"0,89",1906,Thüringen
38,Oberhausen,191.829,202.808,258.626,246.199,228.947,223.84,222.151,212.945,211.382,211.422,"77,09",2.742,"0,02",1914,Nordrhein-Westfalen
39,Rostock,118.048,133.109,158.63,198.636,232.506,248.088,200.506,202.735,207.513,208.409,"181,26",1.145,"0,43",1935,Mecklenburg-Vorpommern
40,Kassel,211.624,162.132,206.354,214.785,195.912,194.268,194.766,195.53,199.062,200.736,"106,78",1.864,"0,84",1899,Hessen
41,Hagen,151.481,146.401,195.5,201.042,218.927,214.449,203.151,188.526,188.266,187.73,"160,45",1.173,"-0,28",1928,Nordrhein-Westfalen
42,Saarbrücken,131.285,111.45,129.801,128.251,193.554,191.694,183.257,175.741,179.709,180.966,"167,09",1.076,"0,70",1909,Saarland
43,Hamm,56.684,59.866,68.775,84.629,171.869,179.639,182.427,181.783,179.571,179.185,"226,43",793,"-0,21",1975,Nordrhein-Westfalen
44,Potsdam,126.241,118.18,115.004,111.336,130.9,139.794,129.324,156.906,171.81,175.71,"188,61",911,"2,27",1939,Brandenburg
45,Mülheim an der Ruhr,136.828,149.589,183.979,192.183,181.279,177.681,172.862,167.344,170.936,171.265,"91,28",1.873,"0,19",1908,Nordrhein-Westfalen
46,Ludwigshafen am Rhein,143.934,123.869,164.657,176.257,159.399,162.233,163.383,164.177,166.621,168.497,"77,55",2.149,"1,13",1921,Rheinland-Pfalz
47,Oldenburg,74.141,122.809,122.337,131.545,136.764,143.131,154.832,162.173,165.711,167.081,"102,99",1.609,"0,83",1946,Niedersachsen
48,Osnabrück,97.918,109.538,135.821,144.864,157.367,163.168,164.101,164.119,164.07,164.374,"119,80",1.37,"0,19",1939,Niedersachsen
49,Leverkusen,49.927,65.531,93.94,107.626,160.825,160.919,161.047,160.772,163.113,163.577,"78,87",2.068,"0,28",1963,Nordrhein-Westfalen
50,Heidelberg,84.273,116.488,127.595,121.398,133.227,136.796,140.259,147.312,159.914,160.601,"108,84",1.469,"0,43",1946,Baden-Württemberg
51,Solingen,140.453,147.845,170.619,177.124,166.085,165.401,164.973,159.927,158.908,158.803,"89,54",1.775,"-0,07",1929,Nordrhein-Westfalen
52,Darmstadt,110.552,94.788,138.736,141.847,138.201,138.92,138.242,144.402,157.437,158.254,"122,09",1.29,"0,52",1937,Hessen
53,Herne,94.639,111.591,113.252,103.849,182.542,178.132,174.529,164.762,156.774,156.49,"51,42",3.049,"-0,18",1933,Nordrhein-Westfalen
54,Neuss,59.649,63.478,93.68,116.013,149.334,147.019,150.013,151.388,152.882,153.81,"99,52",1.536,"0,61",1963,Nordrhein-Westfalen
55,Regensburg,90.651,117.291,123.751,130.888,132.604,121.691,125.676,135.52,148.638,150.894,"80,70",1.842,"1,52",1940,Bayern
56,Paderborn,39.955,40.27,52.773,68.207,110.155,120.68,139.084,146.283,148.677,149.075,"179,59",828,"0,27",1975,Nordrhein-Westfalen
57,Ingolstadt,31.37,40.523,52.54,70.594,90.49,105.489,115.722,125.088,133.639,135.244,"133,37",1.002,"1,20",1989,Bayern
58,Offenbach am Main,85.128,89.03,115.051,118.841,110.993,114.992,117.535,120.435,124.589,126.658,"44,89",2.775,"1,66",1954,Hessen
